t_and_o_map  europe continent europa_regina 
luxembourg  united_states world_war_i europe european_union demonym paris london madrid russian_federation demographics_of_europe western_europe nato council_of_europe winston_churchill belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union euro schengen_area franks albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland lascaux balkans rhine athens germanic_peoples frankish_empire monarchy parliament beggars protestant_reformation rome habsburg_dynasty french_revolution napoleonic_empire prussia austrian_empire habsburg_empire history_of_the_european_union german_empire the_great_war turkish_republic nazi_germany saarland rhineland czechoslovakia hamburg european_theatre_of_world_war_ii battle_of_france allies_of_world_war_ii berlin world_war_ii_casualties european_coal_and_steel_community treaty_of_rome european_community european_parliament european_court_of_justice geography_of_europe balkan eurasian_wolf regions_of_europe constitutional_monarchy eurozone benelux area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density vienna brussels sofia zagreb nicosia prague copenhagen tallinn budapest dublin riga vilnius luxembourg_(city) valletta amsterdam warsaw lisbon bucharest bratislava ljubljana stockholm list_of_states_with_limited_recognition northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
solidarity_(polish_trade_union)  europe soviet_union cold_war iron_curtain warsaw_pact revolutions_of_1989 berlin_wall lithuania poland history_of_europe trade_union danzig glasnost european_parliament visegr%c3%a1d_group warsaw 
balance_of_power_(international_relations)  world_war_i crimean_war europe nato council_of_europe history_of_europe thirty_years_war peace_of_westphalia napoleonic_wars congress_of_vienna great_power eastern_question german_empire the_great_war invasion_of_poland superpower 
theodosius_i  europe istanbul ancient_history greece malta slovenia spain turkey roman_era christendom iberia history_of_europe ancient_rome roman_empire augustus christianity constantinople early_middle_ages decline_of_the_roman_empire visigoths huns byzantine_empire iberian_peninsula roman_catholic_church rome turkish_republic 
hippocrates  europe classical_antiquity ancient_greece ancient_history ancient_greek greece armenia aegean_sea anaximander herodotus ptolemy minoan_civilization crete parthenon athens athenian_democracy aristotle socrates plato thucydides homer sophocles euripides galen pythagoras euclid archimedes pandemic leper 
treaty_of_versailles  united_states world_war_i europe modern_era andorra austria czech_republic denmark germany monaco poland history_of_europe rhine city_states modern_history great_power prussia world_war_ii wilhelm_ii central_powers german_empire russian_civil_war the_great_war weimar_republic mussolini fascism kingdom_of_italy adolf_hitler nazi_germany saarland rhineland anschluss appeasement second_polish_republic danzig molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battle_of_britain empire_of_japan british_empire allies_of_world_war_ii yalta_conference the_holocaust southern_europe andorra_la_vella 
justinian_i  europe istanbul classical_antiquity ancient_greece western_civilization ancient_history middle_ages maghreb bosnia_and_herzegovina italy turkey roman_era eastern_orthodox byzantium history_of_europe ancient_rome plato roman_empire roman_law augustus constantinople early_middle_ages decline_of_the_roman_empire ostrogoths visigoths vandals slavs bulgars byzantine_empire code_of_justinian hagia_sophia sasanids emirate_of_sicily holy_roman_empire roman_catholic_church slavic_peoples monasticism napoleonic_code turkish_republic mollusc tirana sofia skopje sukhumi 
homo_erectus_georgicus  europe homo_erectus_georgicus bronze_age caucasus neolithic 
valletta  mediterranean_tropical-like_cyclone europe european_union istanbul moscow paris london madrid demographics_of_europe americas vatican_city gibraltar malta monaco athens kiev florence rome avignon berlin geography_of_europe southern_europe capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert tskhinvali tiraspol 
extratropical_cyclone  tropical_cyclone hurricane storm european_windstorm low-pressure_area anticyclone high-pressure_area cyclone rain thunderstorm blizzard tornado synoptic_scale_meteorology weather_system middle_latitudes weather_front post-tropical_cyclone depression_(weather) weather_fronts cyclogenesis surface_weather_analysis jetstream occluded_front trowal bomb_(meteorology) gulf_stream westerlies cold-core_low subtropical_cyclone sea_surface_temperature cold_front norwegian_cyclone_model eye_(cyclone) zonal_flow meridional_flow low_pressure_system blocking_anticyclone fujiwhara_effect precipitation_(meteorology) thundersnow hail great_storm_of_1987 hurricane_wilma flood hurricane_sandy nor%27easter sudestada centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane australian_east_coast_low genoa_low icelandic_low kona_storm mediterranean_tropical-like_cyclone polar_vortex weather_bomb sting_jet alberta_clipper colorado_low gulf_low pandemic prevailing_westerlies helsinki reykjav%c3%adk 
civic_crown  europe roman_era ancient_rome augustus 
congress_of_vienna  crimean_war europe european_union russian_federation modern_era warsaw_pact austria croatia germany italy luxembourg monaco netherlands poland portugal russia switzerland united_kingdom adriatic_sea history_of_europe germanic_peoples early_modern_period florence medici rome habsburg_dynasty modern_history napoleon napoleonic_wars battle_of_waterloo napoleonic_empire balance_of_power_(international_relations) great_power prussia austrian_empire austro-hungarian_empire ausgleich italian_unification eastern_question russian_empire serbian_revolution congress_of_berlin austria-hungary german_empire anschluss hamburg vienna brussels warsaw bern 
byzantium  europe demonym istanbul classical_antiquity russian_federation ancient_greece middle_ages ancient_greek latvia russia serbia turkey aegean_sea anaximander herodotus roman_era ptolemy eastern_orthodox history_of_europe minoan_civilization crete ancient_rome parthenon athens athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates pythagoras euclid archimedes roman_empire christianity constantinople early_middle_ages decline_of_the_roman_empire goths vikings cumans byzantine_empire charlemagne croats renaissance_of_the_12th_century fall_of_constantinople turkish_republic sofia 
perpendicular  extratropical_cyclone equator coriolis_effect extratropical_transition_technique 
winston_churchill  europe european_union modern_era western_europe soviet_union cold_war iron_curtain council_of_europe european_integration euro gibraltar greece malta poland united_kingdom history_of_europe historiography huns charlemagne magna_carta mongol_invasion_of_europe england modern_history balance_of_power_(international_relations) great_power world_war_ii history_of_the_european_union wilhelm_ii russian_civil_war stalin adolf_hitler nazi_germany munich_agreement appeasement european_theatre_of_world_war_ii phoney_war battle_of_france battle_of_britain attack_on_pearl_harbor british_empire allies_of_world_war_ii yalta_conference joseph_stalin normandy_landings the_holocaust schuman_declaration canary_islands 
barents_sea  arctic_ocean ocean polar_low icelandic_low europe continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea asia russian_federation renaissance_exploration age_of_discovery americas africa oceania western_europe maghreb anatolia finland norway svalbard russia adriatic_sea baltic_sea aegean_sea bay_of_biscay ligurian_sea north_sea norwegian_sea north_america sea_of_azov balkans near_east mediterranean_coast mediterranean_basin slavs asia_minor caucasus slavic_peoples new_world geography_of_europe italian_peninsula geology_of_europe southern_europe balkan mediterranean 
balkans  arctic_ocean world_war_i ocean crimean_war genoa_low europe european_union continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea classical_antiquity asia migration_period middle_ages modern_era americas africa oceania western_europe world_war cold_war enlargement_of_the_european_union greek_mythology maghreb anatolia albania bosnia_and_herzegovina bulgaria greece italy kosovo republic_of_macedonia serbia turkey north_america christendom iberia history_of_europe vin%c4%8da_culture bronze_age balkans near_east linear_pottery_culture mediterranean_coast greeks mediterranean_basin athens democracy achaemenid_empire roman_empire constantinople late_antiquity early_middle_ages decline_of_the_roman_empire ostrogoths visigoths huns slavs cumans byzantine_empire croats serbs sasanids asia_minor caucasus iberian_peninsula basque_people south_slavs high_middle_ages late_middle_ages maritime_republics crusades fourth_crusade fall_of_constantinople ottoman_empire turkic_peoples slavic_peoples ivan_the_terrible list_of_epidemics siege_of_vienna new_world modern_history nation_state italian_unification nation-states eastern_question serbian_revolution greek_war_of_independence balkan_wars congress_of_berlin interwar_period franz_joseph_i_of_austria entente_powers the_great_war mussolini fascism ataturk turkish_republic adolf_hitler british_empire decolonisation geography_of_europe italian_peninsula southern_europe rainforest wolf european_brown_bear balkan eurasian_wolf central_and_eastern_europe mediterranean politics_of_europe regions_of_europe tirana sarajevo sofia skopje belgrade pristina 
constantine_the_great_and_christianity  europe roman_era ancient_rome roman_empire roman_architecture augustus byzantine_empire roman_catholic_church papacy crusades inquisition reconquista protestant_reformation pope western_schism martin_luther 
european_bison  europe latvia bia%c5%82owie%c5%bca_forest 
euramerica  europe continent eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents north_america new_world baltica supercontinent columbia_(supercontinent) laurentia rodinia gondwana pangea laurasia avalonia 
